run,imp,exit_code,theta,scale,shape,gamma,e,var_type,site_class,sel_type,lnL,boundaries_hit,searches,converged,model,params,AIC,delta_AIC
498,1,3,0.000705894948759,na,na,0,0,ins,1,neu,1025773.24832,neu_ins_e_1,500,True,indel_discrete_1class_equal_t,23,-2051500.49664,-6829.4419613
498,1,3,0.00111844180206,na,na,0,0.0354125763108,del,1,neu,1025773.24832,neu_ins_e_1,500,True,indel_discrete_1class_equal_t,23,-2051500.49664,-6829.4419613
498,1,3,0.000705894948759,na,na,-96.320054516,0.0959796627203,ins,1,sel,1025773.24832,neu_ins_e_1,500,True,indel_discrete_1class_equal_t,23,-2051500.49664,-6829.4419613
498,1,3,0.00111844180206,na,na,-69.9844705506,0.0539124357284,del,1,sel,1025773.24832,neu_ins_e_1,500,True,indel_discrete_1class_equal_t,23,-2051500.49664,-6829.4419613
197,1,3,0.000735756159246,na,na,0,0,ins,1,neu,1029175.35411,neu_ins_e_1,500,True,indel_discrete_1class,25,-2058300.70823,-29.2303729001
197,1,3,0.0011679771269,na,na,0,0.0353766027233,del,1,neu,1029175.35411,neu_ins_e_1,500,True,indel_discrete_1class,25,-2058300.70823,-29.2303729001
197,1,3,2.42590606838e-05,na,na,0.278864518732,0.0349765023502,ins,1,sel,1029175.35411,neu_ins_e_1,500,True,indel_discrete_1class,25,-2058300.70823,-29.2303729001
197,1,3,8.31036781897e-05,na,na,-3.58657360787,0.0136052321639,del,1,sel,1029175.35411,neu_ins_e_1,500,True,indel_discrete_1class,25,-2058300.70823,-29.2303729001
51,1,3,0.000732188972229,na,na,0,0,ins,1,neu,1029169.19117,neu_ins_e_1|sel_ins_e_1|sel_del_e_2,500,True,indel_discrete_2class_equal_t,29,-2058280.38234,-49.55625866
51,1,3,0.00116434390168,na,na,0,0.0355329117462,del,1,neu,1029169.19117,neu_ins_e_1|sel_ins_e_1|sel_del_e_2,500,True,indel_discrete_2class_equal_t,29,-2058280.38234,-49.55625866
51,1,3,0.00071986498233,na,na,-500,0.0165899567745,ins,1,sel,1029169.19117,neu_ins_e_1|sel_ins_e_1|sel_del_e_2,500,True,indel_discrete_2class_equal_t,29,-2058280.38234,-49.55625866
51,1,3,4.51817922025e-05,na,na,-0.982289557249,0,del,1,sel,1029169.19117,neu_ins_e_1|sel_ins_e_1|sel_del_e_2,500,True,indel_discrete_2class_equal_t,29,-2058280.38234,-49.55625866
51,1,3,0.00071986498233,na,na,-500,0.0165899567745,ins,2,sel,1029169.19117,neu_ins_e_1|sel_ins_e_1|sel_del_e_2,500,True,indel_discrete_2class_equal_t,29,-2058280.38234,-49.55625866
51,1,3,4.51817922025e-05,na,na,-0.982289557249,0,del,2,sel,1029169.19117,neu_ins_e_1|sel_ins_e_1|sel_del_e_2,500,True,indel_discrete_2class_equal_t,29,-2058280.38234,-49.55625866
472,1,3,0.000734564895729,na,na,0,0,ins,1,neu,1029195.9693,neu_ins_e_1|sel_ins_e_1|sel_del_e_2,500,True,indel_discrete_2class,31,-2058329.9386,0.0
472,1,3,0.00116633902934,na,na,0,0.0354573267603,del,1,neu,1029195.9693,neu_ins_e_1|sel_ins_e_1|sel_del_e_2,500,True,indel_discrete_2class,31,-2058329.9386,0.0
